TWA\TWS;0;4;6;8;10;12;14;16;18;20;25;30;35
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
35;0.0;0.6;0.9;1.2;1.5;1.8;2.0;2.2;2.4;2.6;2.8;3.0;3.2
40;0.0;2.4;3.6;4.6;5.4;6.0;6.5;6.9;7.2;7.5;7.8;8.0;8.2
45;0.0;4.7;6.5;7.4;7.9;8.3;8.5;8.6;8.7;8.8;8.9;8.9;8.8
60;0.0;5.6;7.9;9.0;10.0;10.4;10.7;10.9;11.1;11.3;11.5;11.4;11.2
75;0.0;6.3;8.6;9.9;10.8;11.3;11.8;12.1;12.4;12.7;13.0;13.2;13.3
90;0.0;6.4;8.8;10.1;11.4;12.0;12.6;13.1;13.4;13.7;14.3;14.7;14.9
110;0.0;6.5;8.9;10.3;11.5;12.4;13.1;14.0;14.7;15.4;16.6;17.6;18.3
120;0.0;6.5;9.0;10.5;11.8;12.9;13.9;14.9;15.7;16.5;18.1;19.5;20.9
130;0.0;6.5;9.0;10.7;12.0;13.1;14.2;15.4;16.5;17.4;19.6;21.6;23.2
135;0.0;6.4;8.9;10.6;12.0;13.2;14.4;15.6;16.7;17.6;19.8;21.8;23.4
140;0.0;6.2;8.7;10.4;11.7;12.9;14.1;15.3;16.5;17.3;19.7;22.0;24.4
150;0.0;5.4;7.6;9.2;10.6;11.9;13.2;14.4;15.4;16.2;18.6;21.2;23.9
180;0.0;2.4;3.6;4.8;5.9;7.3;8.5;9.6;10.6;11.3;13.6;16.6;19.6